ID_Unico;Data;Modalidade;Cidade;Órgão;Natureza;Função;Categoria_Final;Objeto;Valor;Link
nan;;Dispensa;Senador Elói de Souza;MUNICIPIO DE SENADOR ELOI DE SOUZA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação com o CORPO DE BOMBEIROS MILITAR DO RIO GRANDE DO NORTE, para o pagamento da Taxa de Proteção Contra Incêndio, Salvamento e Resgate em Via Pública, pertencentes ao município de Senador Elói de Souza/RN.;30000.0;
https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=16034205900302026;2026-01-02;Pregão;Natal;COMANDO DO EXERCITO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Aquisição de gêneros alimentícios (QR) 2º semestre.;5328282.99;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=16034205900302026
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Santo-Antonio-1615/RPE-49-2025-2026-447820;2026-01-05;Pregão;Santo Antônio;MUNICIPIO DE SANTO ANTONIO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Aquisição futura e eventual de gás liquefeito (GLP) acondicionado em botijões metálicos transportáveis para atender às demandas das secretarias municipais do Município de Santo Antônio/RN.;106600.87;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Santo-Antonio-1615/RPE-49-2025-2026-447820
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Mossoro-1230/RPE-18-2025-2026-447419;2026-01-05;Pregão;Mossoró;MUNICIPIO DE MOSSORO;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - O objeto da presente licitação é a escolha mais vantajosa para a futura e eventual fornecimento de água mineral natural, sem gás, para suprir as necessidades de abastecimento nas dependências das unidades das Secretaria Municipal de Saúde de Mossoró.;287928.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Mossoro-1230/RPE-18-2025-2026-447419
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Serra-do-Mel-1071/RPE-46-2025-2026-447822;2026-01-05;Pregão;Serra do Mel;MUNICIPIO DE SERRA DO MEL;SERVIÇOS;OUTROS;SERVIÇOS - OUTROS;[Portal de Compras Públicas] - Fornecimento de buffet tipo almoço, incluindo preparação do ambiente, fornecimento de estrutura completa e equipe qualificada para atendimento, reposição de alimentos e manutenção durante os eventos, em apoio às ações e serviços do Município de Serra do Mel/RN.;147925.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Serra-do-Mel-1071/RPE-46-2025-2026-447822
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Sao-Goncalo-do-Amarante-1125/PE-64-2025-2026-444457;2026-01-05;Pregão;São Gonçalo do Amarante;MUNICIPIO DE SAO GONCALO DO AMARANTE;LOCAÇÃO;OUTROS;LOCAÇÃO - OUTROS;[Portal de Compras Públicas] - Registro de Preço para eventual Contratação de empresa especializada no fornecimento de acesso à internet via fibra óptica, por meio de múltiplos pontos de conexão, com velocidade de 4 Gbps, com IP dedicado, incluindo aluguel de equipamentos de rede e na prestação de serviços técnicos especializados na implantação, operacionalização, gestão e manutenção de uma solução de transmissão de dados de forma integrada, contínua e gerenciada à PREFEITURA SÃO GONÇALO DO AMARANTE;139484.59;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Sao-Goncalo-do-Amarante-1125/PE-64-2025-2026-444457
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Santa-Cruz-1190/RPE-62-2025-2026-447900;2026-01-05;Pregão;Santa Cruz;MUNICIPIO DE SANTA CRUZ;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Contratação de empresa(s) especializada(s) na prestação de serviços de locação de veículos, (Ônibus, Micro-ônibus, Van Veículos tipo passeio, Picap e caminhão tipo baú), para atender as Secretarias Municipais do Município de Santa Cruz/RN;6104061.72;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Santa-Cruz-1190/RPE-62-2025-2026-447900
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Sao-Tome-2068/RPE-01-2026-2026-447939;2026-01-05;Pregão;São Tomé;MUNICIPIO DE SAO TOME;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - OBTENÇÃO DE REGISTRO DE PREÇOS PARA AQUISIÇÃO DE GULOSEIMAS PARA ATENDER AS DEMANDAS DAS DIVERSAS SECRETARIAS DO MUNICÍPIO DE SÃO TOMÉ/RN.;0.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Sao-Tome-2068/RPE-01-2026-2026-447939
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Jardim-de-Piranhas-1499/PE-1-2026-2026-447986;2026-01-06;Pregão;Jardim de Piranhas;MUNICIPIO DE JARDIM DE PIRANHAS;SERVIÇOS;OUTROS;SERVIÇOS - OUTROS;[Portal de Compras Públicas] - AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS PARA COMPOR OS ITENS DE PREPARO DA MERENDA ESCOLAR DO MUNICÍPIO DE JARDIM DE PIRANHAS-RN DURANTE O ANO DE 2026;1710520.2;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Jardim-de-Piranhas-1499/PE-1-2026-2026-447986
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Jardim-de-Piranhas-1499/PE-2-2026-2026-447987;2026-01-06;Pregão;Jardim de Piranhas;MUNICIPIO DE JARDIM DE PIRANHAS;OBRAS;OUTROS;OBRAS - OUTROS;[Portal de Compras Públicas] - LOCAÇÃO DE VEÍCULO TIPO CAMINHÃO PIPA DESTINADO A MANUTENÇÃO DAS SECRETARIAS MUNICIPAIS DE AGRICULTURA E ABASTECIMENTO E OBRAS E SERVIÇOS URBANOS DESTE MUNICÍPIO DE JARDIM DE PIRANHAS-RN;545802.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Jardim-de-Piranhas-1499/PE-2-2026-2026-447987
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Florania-2256/RPEM-024-2025-2026-448045;2026-01-06;Pregão;Florânia;MUNICIPIO DE FLORANIA;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL MANUTENÇÃO DE VEÍCULOS COM REPOSIÇÃO DE PEÇAS.;1165087.5;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Florania-2256/RPEM-024-2025-2026-448045
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Pedra-Grande-1534/RPE-001-2026-2026-2026-448053;2026-01-06;Pregão;Pedra Grande;MUNICIPIO DE PEDRA GRANDE;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Obtenção de registro de preços para futura e eventual contratação de empresa para aquisição de equipamentos e materiais de informática para atender as demandas das diversas secretarias e órgãos da administração pública de Pedra Grande/RN.;0.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Pedra-Grande-1534/RPE-001-2026-2026-2026-448053
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Alto-do-Rodrigues-1573/RPE-001-2026-2026-448177;2026-01-06;Pregão;Alto do Rodrigues;MUNICIPIO DE ALTO DO RODRIGUES;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - Registro de preço para futura Aquisição de ambulância de transporte tipo “A”, zero km, ano/modelo mínimo 2025/2026, destinada ao atendimento e transporte de pacientes em situações de urgência e em procedimentos eletivos no município de Alto do Rodrigues/RN, conforme Proposta nº 97546089000125003, referente à Emenda Parlamentar nº 39170015.;326239.71;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Alto-do-Rodrigues-1573/RPE-001-2026-2026-448177
https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92639305900012026;2026-01-07;Pregão;Natal;CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO RIO GRANDE DO NORTE - CREA/RN;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Aquisição de 03 (três) veículos automotores de passeio e 01 (um) veículo automotor tipo pick-up com tração 4x4, zero quilometro, visando atender as necessidades da Gerência de Fiscalização do CREA-RN, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;729311.31;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92639305900012026
https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92554305900442025;2026-01-07;Pregão;Mossoró;FUNDACAO UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE - FUERN;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;Contratação dos serviços para realização de instalação de toda a infraestrutura de rede com fornecimento de insumos FANAT, conforme condições, quantidades e exigências estabelecidas no Edital e seus anexos.;245785.62;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92554305900442025
https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92554305900432025;2026-01-07;Pregão;Mossoró;FUNDACAO UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE - FUERN;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;O objeto da presente licitação é o registro de preço para obtenção do direito de uso de softwares para atendimento à UERN, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;1015781.24;https://cnetmobile.estaleiro.serpro.gov.br/comprasnet-web/public/landing?destino=acompanhamento-compra&compra=92554305900432025
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Ceara-Mirim-1205/PE-040-2025-2026-448224;2026-01-07;Pregão;Ceará-Mirim;MUNICIPIO DE CEARA-MIRIM;OBRAS;OUTROS;OBRAS - OUTROS;[Portal de Compras Públicas] - REGISTRO DE PREÇO PARA CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS DE ARAGEM DE TERRA, COM FORNECIMENTO DE MÃO DE OBRA, MÁQUINAS AGRÍCOLAS, COMBUSTÍVEL E DEMAIS INSUMOS NECESSÁRIOS, VISANDO ATENDER AGRICULTORES FAMILIARES E PEQUENAS PROPRIEDADES RURAIS DO MUNICÍPIO DE CEARÁ-MIRIM/RN.;0.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Ceara-Mirim-1205/PE-040-2025-2026-448224
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Acari-1863/RPE-001-2026-2026-448323;2026-01-07;Pregão;Acari;MUNICIPIO DE ACARI;AQUISIÇÃO;OUTROS;AQUISIÇÃO - OUTROS;[Portal de Compras Públicas] - REGISTRO DE PREÇOS PARA FUTURA E EVENTUAL CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA, PARA APARELHOS DE ARES CONDICIONADOS E BEBEDOUROS, INSTALADOS NOS PRÉDIOS, UNIDADES E DEPENDÊNCIAS DA ADMINISTRAÇÃO PÚBLICA MUNICIPAL;401233.8;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Acari-1863/RPE-001-2026-2026-448323
https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Angicos-1372/RPEM-016R-2025-2026-448355;2026-01-07;Pregão;Angicos;MUNICIPIO DE ANGICOS;AQUISIÇÃO;FROTA E COMBUSTÍVEL;AQUISIÇÃO - FROTA E COMBUSTÍVEL;[Portal de Compras Públicas] - Registro de preços para aquisição futura e parcelada de combustíveis (Gasolina, Etanol Hidratado, Diesel S10 e Diesel Comum) para atender as necessidades do município de Angicos/RN, conforme condições, quantidades e exigências estabelecidas neste Edital e seus anexos.;1069280.0;https://portaldecompraspublicas.com.br/processos/RN/Prefeitura-Municipal-de-Angicos-1372/RPEM-016R-2025-2026-448355
